Sleep Stage,MeanP_Alpha_F4,MedianF_Alpha_F4,MeanF_Alpha_F4,Spectral Edge_Alpha_F4,PeakF_Alpha_F4,MeanP_Beta_F4,MedianF_Beta_F4,MeanF_Beta_F4,Spectral Edge_Beta_F4,PeakF_Beta_F4,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4,MeanP_Gamma_F4,MedianF_Gamma_F4,MeanF_Gamma_F4,Spectral Edge_Gamma_F4,PeakF_Gamma_F4,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4,MeanP_Beta_C4,MedianF_Beta_C4,MeanF_Beta_C4,Spectral Edge_Beta_C4,PeakF_Beta_C4,MeanP_Theta_C4,MedianF_Theta_C4,MeanF_Theta_C4,Spectral Edge_Theta_C4,PeakF_Theta_C4,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4,MeanP_Gamma_C4,MedianF_Gamma_C4,MeanF_Gamma_C4,Spectral Edge_Gamma_C4,PeakF_Gamma_C4,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2,MeanP_Beta_O2,MedianF_Beta_O2,MeanF_Beta_O2,Spectral Edge_Beta_O2,PeakF_Beta_O2,MeanP_Theta_O2,MedianF_Theta_O2,MeanF_Theta_O2,Spectral Edge_Theta_O2,PeakF_Theta_O2,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2,MeanP_Gamma_O2,MedianF_Gamma_O2,MeanF_Gamma_O2,Spectral Edge_Gamma_O2,PeakF_Gamma_O2
NREM,0.00027,9.36585,17.35805,16.85854,8.61659,0.00038,18.73171,31.46927,38.46244,49.95122,0.00033,5.99415,12.36293,9.99024,8.61659,0.00207,0.99902,5.49463,2.74732,1.24878,0.00019,45.95512,49.82634,50.20098,49.95122,0.00025,8.86634,16.73366,15.98439,8.61659,0.00029,16.98341,28.34732,32.46829,8.61659,0.00029,6.61854,11.98829,9.99024,8.61659,0.00143,1.1239,6.61854,2.8722,1.1239,9.06e-05,38.83707,47.2039,50.0761,49.95122,0.00014,9.24098,16.73366,16.10927,8.49171,0.00017,17.35805,29.34634,33.46732,49.95122,0.00016,6.61854,11.98829,10.11512,3.87122,0.00058,0.87415,7.3678,3.24683,0.37463,5.72e-05,39.8361,49.82634,50.0761,49.95122
NREM,0.00017,10.11512,16.4839,15.73463,7.61756,0.00018,16.10927,26.59902,35.21561,49.95122,0.00024,5.49463,11.86341,10.36488,3.87122,0.00096,0.87415,6.36878,3.37171,0.99902,7.3e-05,49.82634,49.95122,50.0761,49.95122,0.00014,9.99024,16.23415,15.36,7.61756,0.00014,15.23512,24.4761,27.59805,49.95122,0.00021,5.61951,11.86341,10.24,3.74634,0.0006,0.99902,6.61854,3.74634,0.99902,3.4e-05,49.70146,49.95122,50.0761,49.95122,9.72e-05,9.24098,16.23415,15.60976,6.74341,9.84e-05,16.10927,27.59805,32.59317,49.95122,0.00015,5.61951,11.23902,9.61561,6.74341,0.00046,0.87415,6.61854,3.62146,0.99902,3.35e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00016,9.74049,16.10927,15.23512,10.48976,0.00017,15.73463,26.47415,37.58829,49.95122,0.00026,5.12,11.61366,9.86537,3.74634,0.00162,0.87415,5.61951,2.74732,0.37463,6.99e-05,49.82634,49.95122,50.0761,49.95122,0.00015,9.49073,15.48488,15.11024,10.48976,0.00014,14.86049,24.4761,26.22439,49.95122,0.00025,5.12,11.48878,9.49073,3.74634,0.00107,1.1239,5.74439,3.12195,0.87415,3.13e-05,49.82634,49.82634,49.95122,49.95122,9.14e-05,9.36585,15.98439,15.36,6.61854,9.26e-05,15.60976,27.47317,31.96878,49.95122,0.00014,5.36976,11.48878,9.49073,3.74634,0.00055,0.87415,6.36878,3.37171,0.87415,3.09e-05,49.82634,49.82634,49.95122,49.95122
NREM,0.00025,10.24,17.10829,16.35902,7.49268,0.00029,16.35902,25.47512,28.59707,49.95122,0.00031,5.86927,12.61268,10.61463,6.61854,0.0013,0.87415,6.49366,2.99707,0.62439,8.5e-05,49.82634,49.95122,49.95122,49.95122,0.00022,10.24,17.10829,16.35902,8.86634,0.00027,16.23415,24.60098,26.84878,14.86049,0.00028,5.74439,12.73756,10.61463,6.61854,0.00102,1.24878,6.49366,3.12195,0.74927,5.02e-05,34.09171,49.82634,49.95122,49.95122,0.00018,10.48976,17.73268,17.48293,8.86634,0.00025,17.35805,26.22439,28.59707,14.98537,0.00018,6.36878,13.48683,11.23902,3.87122,0.0005,0.99902,7.24293,3.62146,0.74927,5.5e-05,34.46634,49.82634,49.95122,49.95122
NREM,0.00018,9.86537,16.73366,15.85951,7.61756,0.0002,16.10927,25.22537,30.59512,49.95122,0.0003,4.99512,11.98829,9.49073,2.99707,0.00192,0.87415,5.49463,2.8722,0.87415,7.1e-05,49.82634,49.95122,50.0761,49.95122,0.00016,8.99122,16.23415,15.60976,7.49268,0.00016,15.48488,24.10146,25.72488,49.95122,0.00026,5.24488,11.73854,8.99122,3.9961,0.00166,0.87415,5.61951,2.74732,0.99902,3.37e-05,49.70146,49.82634,49.95122,49.95122,9.13e-05,9.1161,16.35902,15.73463,8.99122,9.61e-05,16.23415,27.59805,32.21854,49.95122,0.00016,5.12,11.11415,9.1161,4.74537,0.00106,0.87415,5.49463,2.62244,0.99902,3.18e-05,49.70146,49.82634,50.0761,49.95122
NREM,0.00017,9.99024,15.73463,15.11024,6.36878,0.00017,15.11024,26.22439,34.34146,49.95122,0.00023,5.86927,11.86341,10.48976,6.36878,0.00073,0.99902,6.36878,3.49659,0.87415,6.62e-05,49.82634,49.95122,50.0761,49.95122,0.00015,9.74049,15.23512,14.48585,6.36878,0.00013,14.2361,24.10146,26.34927,12.36293,0.0002,5.74439,11.73854,10.24,6.36878,0.00056,0.99902,6.61854,3.62146,0.87415,2.9e-05,49.82634,49.95122,49.95122,49.95122,9.07e-05,9.1161,15.98439,15.11024,7.3678,8.68e-05,15.60976,26.97366,30.47024,49.95122,0.00013,6.11902,11.61366,9.74049,6.36878,0.00042,0.87415,6.86829,3.37171,0.87415,2.73e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00016,9.36585,15.11024,14.61073,6.61854,0.00015,14.48585,26.84878,39.08683,49.95122,0.00024,5.74439,11.73854,9.61561,6.61854,0.00088,0.99902,6.49366,3.49659,0.74927,6.32e-05,49.82634,49.95122,50.0761,49.95122,0.00014,9.49073,14.98537,14.48585,6.61854,0.00013,14.11122,23.47707,25.47512,14.11122,0.00021,5.49463,12.23805,9.61561,6.61854,0.0007,1.24878,6.49366,3.49659,0.87415,2.79e-05,49.82634,49.95122,50.0761,49.95122,0.0001,8.74146,15.48488,14.86049,7.3678,8.94e-05,14.98537,26.84878,30.34537,49.95122,0.00015,5.86927,11.11415,9.36585,5.49463,0.00044,0.99902,6.86829,3.49659,0.62439,2.64e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00016,9.49073,15.98439,15.23512,9.99024,0.00016,15.73463,26.22439,34.46634,49.95122,0.00027,4.87024,11.3639,9.49073,3.74634,0.00221,0.74927,5.36976,2.62244,0.74927,6.53e-05,49.82634,49.95122,49.95122,49.95122,0.00015,9.36585,15.60976,14.98537,5.99415,0.00014,14.86049,24.10146,26.09951,49.95122,0.00024,5.24488,11.3639,9.61561,3.74634,0.0016,0.87415,5.74439,2.8722,0.87415,3.05e-05,49.70146,49.82634,49.95122,49.95122,8.63e-05,8.99122,16.10927,15.36,5.99415,8.44e-05,16.10927,26.34927,31.34439,49.95122,0.00014,5.74439,11.11415,9.36585,5.99415,0.0006,0.99902,6.2439,2.99707,0.99902,2.6e-05,49.70146,49.82634,49.95122,49.95122
NREM,0.00017,9.74049,16.10927,15.36,11.61366,0.00018,15.48488,25.97463,33.09268,49.95122,0.00028,4.74537,11.73854,9.74049,2.99707,0.00231,0.74927,4.99512,2.74732,0.49951,6.71e-05,49.82634,49.95122,50.0761,49.95122,0.00015,9.61561,15.85951,15.23512,8.99122,0.00015,14.98537,23.85171,26.34927,14.11122,0.00026,4.74537,11.48878,9.49073,3.49659,0.00228,0.87415,4.99512,2.49756,0.87415,3.11e-05,49.70146,49.82634,49.95122,49.95122,8.95e-05,8.99122,16.60878,15.85951,6.36878,9.38e-05,16.4839,27.22341,31.09463,49.95122,0.00014,5.61951,11.11415,9.24098,6.36878,0.00078,0.87415,6.11902,2.99707,0.87415,2.93e-05,49.70146,49.82634,50.0761,49.95122
NREM,0.00018,9.86537,15.36,14.86049,7.61756,0.00017,14.48585,25.84976,33.21756,49.95122,0.00024,5.86927,11.98829,10.24,3.74634,0.00079,1.24878,6.61854,3.62146,0.87415,6.39e-05,49.82634,49.95122,50.0761,49.95122,0.00017,10.11512,15.11024,14.86049,7.61756,0.00016,14.2361,21.6039,23.72683,13.48683,0.00022,6.11902,12.98732,10.36488,3.74634,0.00064,1.49854,6.61854,3.62146,0.87415,2.95e-05,49.82634,49.95122,50.0761,49.95122,0.00011,8.99122,15.36,14.86049,6.61854,9.99e-05,14.86049,25.84976,28.84683,49.95122,0.00018,5.61951,11.11415,9.36585,5.74439,0.00044,1.49854,6.61854,3.87122,0.99902,2.69e-05,49.70146,49.95122,50.0761,49.95122
Wake,0.00182,13.36195,19.98049,20.23024,7.9922,0.00428,19.98049,28.97171,32.71805,17.48293,0.00126,7.3678,16.23415,14.48585,7.9922,0.02122,0.62439,4.62049,1.24878,0.49951,0.00132,33.46732,40.33561,49.82634,49.95122,0.00169,12.98732,19.85561,19.98049,8.99122,0.00377,19.60585,28.34732,32.34341,17.48293,0.00128,6.74341,15.98439,14.2361,4.12098,0.01888,0.62439,4.62049,1.49854,0.62439,0.00104,32.9678,39.71122,48.20293,49.95122,0.00176,14.2361,20.10537,20.85463,14.48585,0.00463,19.85561,28.84683,32.59317,16.35902,0.00083,8.86634,17.10829,16.35902,7.9922,0.00934,0.49951,6.74341,0.99902,0.37463,0.00133,32.71805,38.33756,46.45463,40.21073
NREM,0.00019,9.74049,16.73366,16.23415,6.74341,0.00023,17.35805,44.45659,49.95122,49.95122,0.00022,6.49366,12.23805,10.48976,6.74341,0.00075,0.62439,6.99317,3.37171,0.49951,0.00016,49.95122,49.95122,50.0761,49.95122,0.00016,9.61561,16.4839,15.85951,9.24098,0.00017,16.10927,25.6,28.97171,49.95122,0.00018,6.61854,12.23805,10.36488,3.87122,0.00038,1.24878,7.61756,3.87122,0.99902,4.95e-05,49.82634,49.95122,50.0761,49.95122,8.85e-05,9.74049,17.35805,16.85854,9.61561,0.00012,18.10732,29.22146,47.32878,49.95122,0.00011,5.74439,12.4878,10.36488,3.87122,0.00031,0.99902,6.74341,3.74634,0.74927,5.81e-05,49.82634,49.95122,50.0761,49.95122
Wake,0.00022,9.74049,18.2322,17.73268,8.61659,0.00034,18.85659,34.7161,49.82634,49.95122,0.00027,6.11902,12.61268,10.36488,3.87122,0.0019,0.62439,5.99415,2.37268,0.37463,0.00022,49.82634,49.95122,50.0761,49.95122,0.0002,9.61561,17.98244,17.35805,9.24098,0.00027,18.10732,28.59707,34.46634,49.95122,0.00021,6.74341,12.73756,10.61463,6.74341,0.00076,0.87415,6.99317,2.99707,0.87415,9.83e-05,41.58439,49.82634,50.0761,49.95122,0.00013,10.61463,18.73171,18.35707,9.74049,0.00022,19.23122,29.34634,36.08976,49.95122,0.00012,6.74341,13.36195,11.61366,3.87122,0.00055,0.49951,7.3678,2.8722,0.49951,9.42e-05,43.95707,49.82634,50.0761,49.95122
NREM,0.00019,9.86537,16.73366,16.23415,6.86829,0.00023,17.6078,46.95415,49.82634,49.95122,0.00023,6.2439,11.86341,10.36488,3.87122,0.0008,0.62439,6.99317,3.62146,0.37463,0.00017,49.82634,49.95122,50.0761,49.95122,0.00015,9.74049,17.10829,16.35902,8.99122,0.00017,16.98341,26.34927,30.47024,49.95122,0.00018,6.2439,11.86341,10.36488,3.87122,0.00035,0.99902,7.61756,3.9961,0.99902,5.56e-05,49.82634,49.95122,49.95122,49.95122,8.46e-05,9.49073,17.48293,16.98341,9.49073,0.00012,18.2322,30.47024,47.95317,49.95122,0.00011,5.74439,12.61268,9.74049,3.87122,0.00028,0.99902,6.86829,3.87122,0.99902,6.17e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00017,9.61561,17.10829,16.4839,7.9922,0.00022,18.73171,49.70146,49.95122,49.95122,0.00024,5.74439,11.73854,9.86537,3.9961,0.00072,0.87415,6.86829,3.74634,0.62439,0.00017,49.82634,49.95122,50.0761,49.95122,0.00014,9.61561,17.35805,16.4839,6.99317,0.00017,17.73268,27.59805,32.34341,49.95122,0.00021,5.61951,11.61366,9.74049,3.9961,0.00055,1.1239,6.86829,3.87122,0.99902,5.82e-05,49.82634,49.82634,49.95122,49.95122,8.49e-05,9.99024,18.35707,17.73268,6.99317,0.00012,18.85659,30.96976,44.45659,49.95122,0.00013,5.36976,11.86341,9.86537,3.9961,0.00039,0.99902,6.2439,3.87122,0.62439,6.58e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.0002,9.74049,16.73366,16.10927,9.86537,0.00025,17.35805,42.33366,49.82634,49.95122,0.00029,5.36976,11.86341,9.86537,4.99512,0.00087,0.99902,6.74341,3.87122,0.37463,0.00018,49.82634,49.95122,50.0761,49.95122,0.00019,9.61561,16.4839,15.48488,9.86537,0.0002,15.85951,25.84976,29.97073,49.95122,0.00028,5.24488,11.86341,9.74049,3.9961,0.00063,1.62341,6.74341,4.12098,1.37366,5.87e-05,49.82634,49.95122,50.0761,49.95122,0.00011,9.61561,17.48293,16.73366,9.74049,0.00014,17.98244,29.47122,39.71122,49.95122,0.00015,5.86927,12.11317,9.74049,4.87024,0.00036,1.37366,6.86829,3.87122,0.37463,6.73e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00019,10.24,17.10829,16.60878,6.74341,0.00025,17.6078,39.8361,49.82634,49.95122,0.00024,5.61951,12.36293,10.48976,6.74341,0.00146,0.74927,5.99415,2.49756,0.49951,0.00018,49.82634,49.95122,50.0761,49.95122,0.00015,9.99024,17.23317,16.60878,10.24,0.00018,16.85854,26.59902,31.46927,49.95122,0.00021,5.61951,12.23805,10.11512,4.49561,0.00085,0.87415,6.2439,3.12195,0.74927,5.89e-05,49.70146,49.82634,49.95122,49.95122,0.0001,9.74049,17.6078,17.23317,9.61561,0.00014,17.98244,30.34537,41.58439,49.95122,0.00015,5.49463,11.73854,9.86537,4.74537,0.00046,0.99902,6.49366,3.62146,0.74927,6.95e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00019,9.61561,17.48293,16.73366,6.99317,0.00025,18.35707,36.83902,49.82634,49.95122,0.00028,5.49463,11.73854,9.74049,3.9961,0.001,1.37366,6.11902,3.37171,0.99902,0.00017,49.82634,49.95122,50.0761,49.95122,0.00017,9.1161,17.6078,16.73366,7.9922,0.00019,17.6078,26.34927,31.34439,49.95122,0.00025,5.61951,11.61366,9.36585,3.9961,0.00074,1.49854,6.61854,3.74634,1.62341,6.01e-05,49.70146,49.82634,49.95122,49.95122,0.00011,9.49073,18.10732,17.48293,7.86732,0.00014,18.48195,29.72098,38.7122,49.95122,0.00015,5.86927,11.86341,9.74049,3.9961,0.00058,0.87415,6.61854,3.12195,0.62439,6.59e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00019,9.49073,16.73366,15.85951,6.74341,0.00022,17.48293,49.70146,49.95122,49.95122,0.00028,5.49463,11.48878,9.86537,3.87122,0.00072,1.24878,6.74341,3.87122,0.99902,0.00017,49.82634,49.95122,50.0761,49.95122,0.00016,8.99122,16.60878,15.48488,6.86829,0.00016,16.23415,26.47415,31.21951,49.95122,0.00026,5.24488,11.3639,9.36585,3.87122,0.00068,1.24878,6.74341,3.87122,0.99902,5.08e-05,49.82634,49.95122,49.95122,49.95122,0.00011,8.86634,17.23317,16.60878,6.61854,0.00013,17.85756,30.09561,42.33366,49.95122,0.00018,5.49463,11.23902,8.99122,3.87122,0.00049,0.99902,6.61854,3.87122,0.99902,6.16e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00016,10.11512,16.4839,15.98439,11.11415,0.0002,17.35805,49.70146,49.95122,49.95122,0.00025,5.12,11.86341,9.99024,3.74634,0.00113,0.99902,5.86927,3.12195,0.49951,0.00016,49.82634,49.95122,50.0761,49.95122,0.00013,9.61561,16.4839,15.85951,11.11415,0.00015,16.23415,27.59805,33.34244,49.95122,0.00023,4.87024,11.48878,9.49073,3.74634,0.00109,0.99902,5.61951,3.24683,0.87415,5.36e-05,49.82634,49.95122,49.95122,49.95122,9.41e-05,9.49073,17.35805,16.60878,7.61756,0.00012,17.73268,30.72,42.20878,49.95122,0.00014,5.49463,11.61366,9.61561,4.62049,0.00042,0.87415,6.61854,3.74634,0.37463,5.99e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00019,9.36585,15.85951,14.86049,6.61854,0.00021,16.60878,49.70146,49.95122,49.95122,0.0003,5.49463,11.48878,9.49073,6.61854,0.00145,1.24878,5.99415,2.99707,0.62439,0.00016,49.82634,49.95122,50.0761,49.95122,0.00017,9.1161,15.60976,15.11024,6.61854,0.00016,15.11024,25.97463,31.21951,49.95122,0.00029,5.24488,11.48878,9.1161,4.74537,0.00124,1.24878,5.99415,3.12195,0.74927,5.08e-05,49.82634,49.95122,50.0761,49.95122,0.00011,8.24195,16.60878,15.60976,6.74341,0.00012,17.23317,30.96976,44.58146,49.95122,0.00019,5.99415,10.86439,8.86634,6.61854,0.00055,1.1239,6.61854,3.49659,0.62439,6.04e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00019,9.49073,16.23415,15.36,7.74244,0.00022,16.4839,49.70146,49.95122,49.95122,0.00029,5.24488,12.11317,9.61561,3.9961,0.00108,1.1239,6.36878,3.24683,0.74927,0.00016,49.95122,49.95122,50.0761,49.95122,0.00018,9.49073,15.48488,14.98537,7.74244,0.00018,14.73561,25.84976,29.47122,14.48585,0.00028,5.12,12.36293,9.49073,3.9961,0.00103,0.99902,6.11902,3.49659,0.74927,5.09e-05,49.82634,49.95122,50.0761,49.95122,0.00011,9.61561,16.60878,15.98439,9.74049,0.00013,16.4839,29.47122,37.83805,49.95122,0.00016,5.49463,12.36293,9.61561,3.87122,0.00065,0.99902,6.2439,3.37171,0.99902,5.98e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00019,9.74049,15.85951,15.11024,7.3678,0.00021,16.10927,49.70146,49.95122,49.95122,0.00027,5.49463,12.11317,9.86537,4.62049,0.00083,1.49854,6.49366,3.62146,0.99902,0.00015,49.95122,49.95122,50.0761,49.95122,0.00017,9.74049,15.73463,15.11024,6.86829,0.00017,14.73561,25.10049,28.59707,49.95122,0.00024,5.61951,12.36293,9.86537,4.62049,0.00079,1.24878,6.49366,3.49659,0.99902,4.63e-05,49.82634,49.95122,50.0761,49.95122,0.00011,9.36585,16.4839,15.85951,7.11805,0.00012,16.4839,28.84683,38.33756,49.95122,0.00016,5.86927,11.86341,9.61561,6.11902,0.00046,0.99902,6.86829,3.74634,0.49951,5.43e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00022,9.99024,15.73463,14.98537,6.99317,0.00023,15.73463,42.33366,49.82634,49.95122,0.00033,4.87024,11.98829,9.99024,3.9961,0.00232,0.87415,5.24488,2.62244,0.62439,0.00015,49.82634,49.95122,50.0761,49.95122,0.00021,9.99024,14.98537,14.61073,14.36098,0.0002,14.2361,23.22732,25.72488,14.36098,0.00035,4.62049,12.23805,9.49073,3.9961,0.00247,0.99902,4.99512,2.62244,0.62439,4.59e-05,49.82634,49.95122,49.95122,49.95122,0.00012,9.36585,15.73463,15.11024,9.99024,0.00012,15.60976,28.72195,38.7122,49.95122,0.00018,5.36976,11.73854,9.49073,5.24488,0.00099,0.87415,5.86927,2.99707,0.49951,5.36e-05,49.82634,49.95122,49.95122,49.95122
NREM,0.00016,9.86537,16.98341,15.98439,7.3678,0.00019,17.73268,49.70146,49.82634,49.95122,0.00025,4.87024,11.86341,9.74049,4.62049,0.00129,0.87415,5.86927,2.8722,0.62439,0.00015,49.82634,49.95122,49.95122,49.95122,0.00014,9.61561,16.60878,15.36,6.61854,0.00014,16.23415,26.09951,30.72,49.95122,0.00022,5.12,11.86341,9.61561,4.62049,0.00068,1.1239,6.49366,3.62146,0.87415,4.71e-05,49.82634,49.82634,49.95122,49.95122,9.02e-05,9.36585,17.10829,16.10927,6.99317,0.00011,17.6078,30.09561,47.95317,49.95122,0.00014,5.74439,11.73854,9.49073,4.74537,0.00037,1.1239,6.74341,3.74634,0.62439,5.26e-05,49.82634,49.95122,49.95122,49.95122
NREM,0.00018,9.49073,16.35902,15.48488,7.11805,0.00021,16.98341,49.70146,49.95122,49.95122,0.00027,5.49463,11.61366,9.86537,4.62049,0.00083,1.1239,6.61854,3.62146,0.87415,0.00015,49.82634,49.95122,50.0761,49.95122,0.00016,9.1161,15.98439,15.36,8.11707,0.00016,15.36,25.47512,29.34634,49.95122,0.00025,5.49463,11.23902,9.49073,4.62049,0.00059,1.49854,6.86829,3.87122,0.87415,4.66e-05,49.82634,49.95122,50.0761,49.95122,9.74e-05,9.24098,16.35902,15.98439,6.36878,0.00011,16.35902,28.72195,41.33463,49.95122,0.00015,5.61951,11.48878,9.49073,3.74634,0.00043,0.99902,6.61854,3.62146,0.62439,5.18e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00019,10.24,15.36,14.86049,6.61854,0.00021,15.11024,49.70146,49.82634,49.95122,0.00027,5.49463,12.61268,10.36488,3.87122,0.00092,1.24878,6.49366,3.62146,0.74927,0.00014,49.95122,49.95122,50.0761,49.95122,0.00021,11.11415,14.73561,14.61073,13.86146,0.00021,14.11122,21.72878,23.72683,14.11122,0.00026,5.36976,13.73659,11.23902,3.87122,0.00076,1.49854,6.49366,3.74634,0.87415,4.42e-05,49.82634,49.95122,50.0761,49.95122,0.00011,9.61561,15.85951,15.11024,6.49366,0.00012,15.11024,27.97268,35.84,49.95122,0.00017,5.61951,12.61268,9.61561,6.49366,0.00046,1.37366,6.49366,3.74634,0.74927,5.04e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00019,9.74049,15.48488,14.73561,9.74049,0.00021,15.48488,49.70146,49.82634,49.95122,0.00028,5.49463,12.11317,9.74049,3.87122,0.0011,1.1239,6.36878,3.37171,0.49951,0.00014,49.82634,49.95122,50.0761,49.95122,0.0002,10.36488,14.86049,14.61073,14.11122,0.00021,14.2361,21.85366,23.97659,14.11122,0.00029,5.49463,13.73659,10.11512,3.87122,0.00103,1.37366,6.2439,3.37171,0.99902,4.36e-05,49.82634,49.95122,49.95122,49.95122,0.00014,8.86634,15.36,14.61073,6.74341,0.00013,14.48585,25.72488,32.71805,49.95122,0.00022,5.86927,11.61366,9.24098,3.87122,0.00059,1.24878,6.61854,3.74634,0.87415,4.79e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00017,8.86634,15.48488,14.61073,7.74244,0.00017,16.35902,49.82634,49.95122,49.95122,0.00027,5.61951,10.98927,9.1161,3.74634,0.00118,0.87415,6.36878,3.12195,0.49951,0.00014,49.95122,49.95122,50.0761,49.95122,0.00016,8.99122,14.86049,14.61073,6.74341,0.00014,14.36098,23.97659,27.72293,14.11122,0.00025,5.61951,11.48878,9.36585,6.74341,0.00092,1.1239,6.36878,3.37171,0.87415,4.02e-05,49.82634,49.95122,50.0761,49.95122,0.00011,8.86634,15.85951,14.73561,9.61561,9.97e-05,15.85951,29.22146,49.70146,49.95122,0.00019,5.36976,10.61463,9.24098,3.87122,0.00064,0.99902,6.36878,3.74634,0.49951,4.73e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00016,9.24098,15.73463,14.86049,7.49268,0.00017,16.73366,49.82634,49.95122,49.95122,0.0003,4.87024,11.11415,9.1161,3.74634,0.0019,0.74927,5.49463,2.8722,0.49951,0.00013,49.95122,49.95122,50.0761,49.95122,0.00014,8.74146,15.60976,14.73561,7.49268,0.00012,15.36,25.6,30.59512,49.95122,0.0003,4.74537,10.61463,8.61659,3.49659,0.00162,0.87415,5.49463,2.99707,0.49951,4.04e-05,49.82634,49.95122,50.0761,49.95122,9.98e-05,8.36683,16.10927,15.23512,6.86829,9.51e-05,16.85854,29.84585,49.70146,49.95122,0.00018,5.49463,10.36488,8.86634,3.74634,0.00064,1.37366,6.36878,3.37171,0.74927,4.66e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00017,9.1161,15.73463,14.86049,6.61854,0.00017,16.23415,49.82634,49.95122,49.95122,0.0003,4.87024,11.11415,9.1161,3.74634,0.00172,1.24878,5.49463,2.74732,0.62439,0.00013,49.95122,49.95122,50.0761,49.95122,0.00015,8.86634,15.73463,14.98537,6.61854,0.00013,15.11024,24.10146,29.09659,49.95122,0.00027,5.12,10.98927,8.86634,4.62049,0.00149,1.24878,5.61951,2.74732,0.87415,4e-05,49.82634,49.95122,50.0761,49.95122,0.00012,8.74146,15.85951,15.11024,8.36683,0.00011,15.73463,28.72195,36.9639,49.95122,0.00018,5.74439,11.11415,9.24098,3.74634,0.00069,0.87415,6.49366,3.24683,0.87415,4.72e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00016,9.49073,16.10927,15.36,6.99317,0.00017,16.4839,49.82634,49.95122,49.95122,0.00026,5.12,11.61366,9.61561,3.74634,0.00112,0.99902,6.11902,3.37171,0.37463,0.00013,49.82634,49.95122,50.0761,49.95122,0.00014,9.24098,15.85951,15.23512,6.99317,0.00013,15.23512,25.22537,29.5961,49.95122,0.00025,4.99512,10.98927,9.24098,3.74634,0.00083,1.49854,6.11902,3.62146,0.74927,3.99e-05,49.82634,49.95122,50.0761,49.95122,0.00011,8.11707,15.98439,14.98537,6.61854,0.0001,15.85951,28.72195,39.8361,49.95122,0.0002,5.49463,10.61463,8.61659,5.49463,0.00054,1.24878,6.61854,3.74634,0.87415,4.53e-05,49.82634,49.95122,50.0761,49.95122
NREM,0.00018,9.61561,15.73463,14.86049,10.36488,0.00018,16.10927,49.70146,49.95122,49.95122,0.00029,5.24488,11.3639,9.86537,3.74634,0.0012,0.99902,6.2439,3.49659,0.49951,0.00013,49.82634,49.95122,50.0761,49.95122,0.00016,9.24098,15.36,14.61073,10.11512,0.00013,14.61073,24.72585,28.97171,49.95122,0.00026,5.36976,11.11415,9.49073,3.74634,0.00085,1.1239,6.2439,3.62146,0.87415,4.01e-05,49.82634,49.95122,49.95122,49.95122,0.00011,8.99122,15.85951,14.98537,9.99024,0.00011,15.85951,28.72195,40.08585,49.95122,0.00017,5.74439,11.11415,9.61561,5.24488,0.00054,0.87415,6.74341,3.49659,0.87415,4.69e-05,49.82634,49.95122,50.0761,49.95122
